model,model_label,case_id,category,description,prompt,should_call,expected_tool,expected_params,format_valid,via_native_api,called,tool_called,args_returned,correct_tool,param_score,params_correct,overall_correct,latency_ms,prompt_tokens,completion_tokens,total_tokens,api_error,timestamp
qwen2.5:0.5b,Qwen2.5 0.5B,1,simple_call,Weather – Paris,What's the weather like in Paris right now?,True,get_weather,"{""location"": ""paris""}",True,True,True,get_weather,"{""location"": ""Paris""}",True,1.0,True,True,448.5,577,20,597,,2026-06-30T06:01:17.438929
qwen2.5:0.5b,Qwen2.5 0.5B,2,simple_call,Calculate – multiplication,Calculate 145 multiplied by 23.,True,calculate,"{""expression"": ""145""}",True,True,True,calculate,"{""expression"": ""145 * 23""}",True,1.0,True,True,452.4,578,25,603,,2026-06-30T06:01:17.891797
qwen2.5:0.5b,Qwen2.5 0.5B,3,simple_call,Time – Tokyo,What is the current time in Tokyo?,True,get_current_time,"{""timezone"": ""tokyo""}",True,True,True,get_current_time,"{""timezone"": ""Asia/Tokyo""}",True,1.0,True,True,442.1,575,24,599,,2026-06-30T06:01:18.334500
qwen2.5:0.5b,Qwen2.5 0.5B,4,simple_call,Search – Python tutorials,Search the web for Python programming tutorials.,True,search_web,"{""query"": ""python""}",True,True,True,search_web,"{""query"": ""Python programming tutorials""}",True,1.0,True,True,471.6,575,22,597,,2026-06-30T06:01:18.806478
qwen2.5:0.5b,Qwen2.5 0.5B,5,simple_call,Weather – New York + unit,What's the weather in New York in Fahrenheit?,True,get_weather,"{""location"": ""new york"", ""unit"": ""fahrenheit""}",True,True,True,get_weather,"{""location"": ""New York, NY"", ""unit"": ""fahrenheit""}",True,1.0,True,True,424.7,577,30,607,,2026-06-30T06:01:19.231699
qwen2.5:0.5b,Qwen2.5 0.5B,6,simple_call,Translate – Hello to Spanish,Translate 'Hello' into Spanish.,True,translate_text,"{""text"": ""hello"", ""target_language"": ""spanish""}",True,True,True,translate_text,"{""text"": ""Hello"", ""target_language"": ""es""}",True,0.5,False,False,406.1,574,27,601,,2026-06-30T06:01:19.638197
qwen2.5:0.5b,Qwen2.5 0.5B,7,simple_call,Currency – USD→EUR,Convert 100 US dollars to Euros.,True,convert_currency,"{""amount"": 100, ""from_currency"": ""usd"", ""to_currency"": ""eur""}",True,True,True,convert_currency,"{""to_currency"": ""EUR"", ""amount from_currency"": ""USD"", ""from_currency"": ""USD""}",True,0.667,False,False,413.5,577,36,613,,2026-06-30T06:01:20.052179
qwen2.5:0.5b,Qwen2.5 0.5B,8,simple_call,Stock – Apple (AAPL),What is Apple's current stock price?,True,get_stock_price,"{""symbol"": ""aapl""}",True,True,True,get_stock_price,"{""symbol"": ""AAPL""}",True,1.0,True,True,436.4,575,22,597,,2026-06-30T06:01:20.489102
qwen2.5:0.5b,Qwen2.5 0.5B,9,simple_call,Reminder – doctor appointment,Set a reminder called 'Doctor appointment' for 2024-09-15 at 10:00.,True,set_reminder,"{""title"": ""doctor""}",True,True,True,set_reminder,"{""title"": ""Doctor appointment"", ""datetime"": ""2024-09-15T10:00:00""}",True,1.0,True,True,543.5,595,46,641,,2026-06-30T06:01:21.033167
qwen2.5:0.5b,Qwen2.5 0.5B,10,simple_call,Search – AI news,Find the latest news about artificial intelligence.,True,search_web,"{""query"": ""artificial intelligence""}",False,False,False,,,False,0.0,False,False,407.1,575,23,598,,2026-06-30T06:01:21.440704
qwen2.5:0.5b,Qwen2.5 0.5B,11,tool_selection,Select: weather vs search,Should I bring an umbrella in London today?,True,get_weather,"{""location"": ""london""}",False,False,False,,,False,0.0,False,False,478.9,576,39,615,,2026-06-30T06:01:21.920411
qwen2.5:0.5b,Qwen2.5 0.5B,12,tool_selection,Select: currency vs calculate,How much is 500 British pounds in Japanese yen?,True,convert_currency,"{""amount"": 500, ""from_currency"": ""gbp"", ""to_currency"": ""jpy""}",True,True,True,calculate,"{""expression"": ""500 * 1.2467""}",False,0.0,False,False,463.0,580,29,609,,2026-06-30T06:01:22.383842
qwen2.5:0.5b,Qwen2.5 0.5B,13,tool_selection,Select: time vs search,What time is it in Los Angeles right now?,True,get_current_time,"{""timezone"": ""angeles""}",True,True,True,get_current_time,"{""timezone"": ""America/Los_Angeles""}",True,1.0,True,True,409.0,577,26,603,,2026-06-30T06:01:22.793204
qwen2.5:0.5b,Qwen2.5 0.5B,14,tool_selection,Select: calculate vs search,What is 2 to the power of 10?,True,calculate,"{""expression"": ""2""}",True,True,True,calculate,"{""expression"": ""2^10""}",True,1.0,True,True,413.8,579,22,601,,2026-06-30T06:01:23.207468
qwen2.5:0.5b,Qwen2.5 0.5B,15,tool_selection,Select: translate vs search,How do you say 'thank you' in Japanese?,True,translate_text,"{""text"": ""thank you"", ""target_language"": ""japanese""}",False,False,False,,,False,0.0,False,False,467.1,578,39,617,,2026-06-30T06:01:23.674935
qwen2.5:0.5b,Qwen2.5 0.5B,16,tool_selection,Select: weather (implicit),Is it currently raining in Sydney?,True,get_weather,"{""location"": ""sydney""}",True,True,True,get_weather,"{""location"": ""Sydney""}",True,1.0,True,True,405.9,574,21,595,,2026-06-30T06:01:24.081258
qwen2.5:0.5b,Qwen2.5 0.5B,17,tool_selection,Select: stock vs search,I need to know Tesla's stock value right now.,True,get_stock_price,"{""symbol"": ""tsla""}",True,True,True,get_stock_price,"{""symbol"": ""TSLA""}",True,1.0,True,True,401.5,578,23,601,,2026-06-30T06:01:24.483187
qwen2.5:0.5b,Qwen2.5 0.5B,18,tool_selection,Select: reminder vs search,Remind me about my dentist appointment on August 20th at 9am.,True,set_reminder,"{""title"": ""dentist""}",True,True,True,set_reminder,"{""title"": ""Dentist Appointment"", ""datetime"": ""2023-08-20T10:00:00"", ""toolbench_rapidapi_key"": ""0884406d90mshef857003fc0ff91p17ae9ejsnaebc918966ff""}",True,1.0,True,True,693.6,585,98,683,,2026-06-30T06:01:25.177184
qwen2.5:0.5b,Qwen2.5 0.5B,19,tool_selection,Select: search vs translate,Search for recent academic papers on large language models.,True,search_web,"{""query"": ""large language models""}",True,True,True,search_web,"{""query"": ""recent academic papers large language models""}",True,1.0,True,True,453.1,577,25,602,,2026-06-30T06:01:25.630721
qwen2.5:0.5b,Qwen2.5 0.5B,20,tool_selection,Select: translate vs search,Convert the phrase 'Good morning' into French for me.,True,translate_text,"{""text"": ""good morning"", ""target_language"": ""french""}",True,True,True,convert_currency,"{""amount from_currency"": ""en"", ""to_currency"": ""fr"", ""amount from_currency to_currency"": 1, ""target_language"": ""French""}",False,0.0,False,False,518.6,579,46,625,,2026-06-30T06:01:26.149706
qwen2.5:0.5b,Qwen2.5 0.5B,21,no_call,No-call: factual knowledge,What is the capital city of France?,False,,,True,True,True,get_weather,"{""location"": ""Paris""}",,,,False,378.8,575,20,595,,2026-06-30T06:01:26.528995
qwen2.5:0.5b,Qwen2.5 0.5B,22,no_call,No-call: creative writing,Write a short haiku about the ocean.,False,,,False,False,False,,,,,,True,485.1,576,40,616,,2026-06-30T06:01:27.014532
qwen2.5:0.5b,Qwen2.5 0.5B,23,no_call,No-call: explanation,Explain what machine learning is in simple terms.,False,,,False,False,False,,,,,,True,627.9,577,83,660,,2026-06-30T06:01:27.642884
qwen2.5:0.5b,Qwen2.5 0.5B,24,no_call,No-call: general knowledge,What are three benefits of regular exercise?,False,,,False,False,False,,,,,,True,847.6,575,138,713,,2026-06-30T06:01:28.490988
qwen2.5:0.5b,Qwen2.5 0.5B,25,no_call,No-call: casual conversation,Tell me a short joke.,False,,,False,False,False,,,,,,True,422.1,573,22,595,,2026-06-30T06:01:28.913584
qwen2.5:0.5b,Qwen2.5 0.5B,31,no_call,No-call: basic geography,How many continents are there on Earth?,False,,,True,False,True,get_number_of_continents,,,,,False,1038.3,575,196,771,,2026-06-30T06:01:29.952176
qwen2.5:0.5b,Qwen2.5 0.5B,32,no_call,No-call: vocabulary definition,What does the word 'ephemeral' mean?,False,,,False,False,False,,,,,,True,568.6,578,60,638,,2026-06-30T06:01:30.521201
